s.no,topic,title,url,labels,upvotes
1,Android Development,The Complete Android N Developer Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/complete-android-n-developer-course/,"['Paid', 'Video', 'Beginner', 'Android 7 — Nougat']",100
2,Android Development,Android Material Design Tutorial,https://www.youtube.com/playlist?list=PLonJJ3BVjZW6CtAMbJz1XD8ELUs1KXaTD,"['Free', 'Video']",50
3,Android Development,Android Development for Beginners,https://www.udacity.com/course/android-development-for-beginners--ud837,"['Free', 'Video', 'Beginner']",49
4,Android Development,Training for Android developers,https://developer.android.com/training/index.html,['Free'],36
5,Android Development,Tutorials about development for Android,http://www.vogella.com/tutorials/android.html,['Free'],26
6,Android Development,Android Tutorial for Beginners,https://www.youtube.com/playlist?list=PLonJJ3BVjZW6hYgvtkaWvwAVvOFB7fkLa,"['Free', 'Video']",22
7,Intro to Programming,Web Development Tutorials For Beginners,https://www.youtube.com/playlist?list=PLoYCgNOIyGAB_8_iq1cL8MVeun7cB6eNc,"['Free', 'Video']",14
8,Intro to Programming,Web Development 101,https://www.theodinproject.com/courses/web-development-101,"['Free', 'Beginner']",8
9,Intro to Programming,Introduction to Computer Science using Java,http://chortle.ccsu.edu/java5/index.html,"['Free', 'Book', 'Beginner', 'Java']",7
10,Intro to Programming,The Complete Web Developer Course 2.0,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/the-complete-web-developer-course-2,"['Paid', 'Video', 'Beginner']",7
11,Intro to Programming,Programming for Beginners,http://paqmind.com/courses/programming-beginner,"['Free', 'Beginner']",6
12,Alexa Skills Kit,Building Alexa Skills from Scratch,https://www.youtube.com/playlist?list=PL2KJmkHeYQTNwlZqLh_ptZhSNZf93e8Sp,"['Free', 'Video', 'Beginner']",2
13,Alexa Skills Kit,Learn to Build Amazon Alexa Skills & Converse with Machines,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/build-your-rad-personal-assistant-with-amazon-alexa-custom-skills/,"['Paid', 'Video', 'Beginner']",1
14,Alexa Skills Kit,Developing Alexa Skills,https://www.youtube.com/playlist?list=PL2KJmkHeYQTO6ci5KF08mvHYdAZu2jgkJ,"['Free', 'Video']",1
15,Alexa Skills Kit,Developing Alexa Skills for Amazon Echo,https://www.pluralsight.com/courses/amazon-echo-developing-alexa-skills,"['Paid', 'Video', 'Beginner']",0
16,Adonis Js,Getting Started With AdonisJS 4.0,https://www.youtube.com/playlist?list=PLillGF-RfqbY6wY9yZjCpSMzvhn-icuG6,"['Free', 'Video', 'Beginner']",5
